agency,article_id,section,published_at,headline,url,sentiment_score,Aspect,effect_type,impact_type
thairath,895391,economics,2017-03-25,"ศึกน้ำดำหน้าร้อนเดือด ""โค้ก-เป๊ปซี่"" ขยับชิงตลาด 5 หมื่นล้าน",https://www.thairath.co.th/money/economics/thai_economics/895391,0.55,เศรษฐกิจไทย,Short-term,Neutral
thairath,896821,investment,2017-03-27,"เปิดตลาดเช้าวันจันทร์ ทองปรับขึ้น 100 รูปพรรณขายออกบาทละ 21,000",https://www.thairath.co.th/money/investment/gold/896821,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,897022,economics,2017-03-27,"หุ้นเช้าปิดตลาดปรับลดเล็กน้อยดัชนีแตะ 1,572 จุด แนะเก็บ Domestic Play",https://www.thairath.co.th/money/economics/thai_economics/897022,0.45,เศรษฐกิจไทย,Short-term,Neutral
thairath,897230,economics,2017-03-27,เผยเดือนมี.ค.60 'สิงคโปร์ ญี่ปุ่น จีน' ลงทุนไทยเพิ่ม ดันการจ้างงานอื้อ,https://www.thairath.co.th/money/economics/thai_economics/897230,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,897330,economics,2017-03-27,"หุ้นไทยปิดตลาดปรับลด 3.01 ดัชนีอยู่ที่ 1,570 จุด",https://www.thairath.co.th/money/economics/thai_economics/897330,0.35,เศรษฐกิจไทย,Short-term,Negative
thairath,897436,economics,2017-03-27,ตั้ง 'สมศักดิ์ ห่มม่วง' รองปลัดคมนาคม นั่งแท่นรักษาการ ผอ.ขสมก.,https://www.thairath.co.th/money/economics/thai_economics/897436,0.55,มาตรการของรัฐ,Short-term,Neutral
thairath,897627,economics,2017-03-27,หุ้นสหรัฐฯ ปิดผสม ยังกังวลความสามารถออกกฎหมายของทรัมป์,https://www.thairath.co.th/money/economics/thai_economics/897627,0.45,เศรษฐกิจโลก,Long-term,Neutral
thairath,897720,economics,2017-03-28,คริสตัลเปิดโรงงานน้ำดื่มใหม่ ชิงแชร์ตลาด 3.5 หมื่นล้าน,https://www.thairath.co.th/money/economics/thai_economics/897720,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,897727,economics,2017-03-28,"ทองไทยเปิดตลาดร่วง 50 รูปพรรณ ขายบาทละ 20,950",https://www.thairath.co.th/money/economics/thai_economics/897727,0.45,เศรษฐกิจไทย,Short-term,Neutral
thairath,897921,personal_finance,2017-03-28,"หุ้นไทยปิดตลาดเช้าปรับตัวขึ้น 6.25 ดัชนีอยู่ที่ 1,576 จุด",https://www.thairath.co.th/money/personal_finance/financial_planning/897921,0.45,เศรษฐกิจไทย,Short-term,Neutral
thairath,897892,personal_finance,2017-03-28,โพลาริส แจ้งล้มดีล ลงทุน 'อะเดย์' เรียกคืนเงินมัดจำ 120 ล้าน,https://www.thairath.co.th/money/personal_finance/financial_planning/897892,0.25,เศรษฐกิจไทย,Short-term,Negative
thairath,897992,economics,2017-03-28,'สมศักดิ์' สั่งด่วน ขีดเส้น 15วัน หมู่หรือจ่ายกเลิกเมล์เอ็นจีวีหรือไม่,https://www.thairath.co.th/money/economics/thai_economics/897992,0.45,มาตรการของรัฐ,Short-term,Neutral
thairath,898150,economics,2017-03-28,'พาณิชย์' มั่นใจอันดับความยาก-ง่ายทำธุรกิจไทยปี 61 ดีขึ้นแบบก้าวกระโดด,https://www.thairath.co.th/money/economics/thai_economics/898150,0.85,เศรษฐกิจไทย,Long-term,Positive
thairath,898296,investment,2017-03-28,"หุ้นไทยปิดตลาดปรับเพิ่ม 6.22 ดัชนีอยู่ที่ 1,576 จุด",https://www.thairath.co.th/money/investment/capital_market/898296,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,898246,economics,2017-03-28,หนุน 'หอยชักตีน กาแฟคลองท่อม กะปิแหลมสัก' ขึ้นทะเบียนสินค้าจีไอ,https://www.thairath.co.th/money/economics/thai_economics/898246,0.85,เศรษฐกิจไทย,Long-term,Positive
thairath,898840,economics,2017-03-29,คน 85.5% เซ็งเรียกแท็กซี่แล้วไม่ไป สารพัดข้ออ้าง หนุนอูเบอร์-แกร็บคาร์,https://www.thairath.co.th/money/economics/thai_economics/898840,0.55,สังคม/ความมั่นคง,Short-term,Neutral
thairath,898877,personal_finance,2017-03-29,"ทองไทยเปิดตลาดราคาคงที่ รูปพรรณ บาทละ 20,950-ทองนิวยอร์ก ร่วง 10 เซนต์",https://www.thairath.co.th/money/personal_finance/financial_planning/898877,0.5,เศรษฐกิจไทย,Short-term,Neutral
thairath,899035,investment,2017-03-29,"หุ้นไทยปิดตลาดเช้าปรับตัวขึ้นเล็กน้อย ดัชนีอยู่ที่ 1,577 จุด",https://www.thairath.co.th/money/investment/capital_market/899035,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,899340,investment,2017-03-29,"หุ้นไทยปิดตลาดปรับลดลง 1.75 ดัชนีอยู่ที่ 1,574 จุด",https://www.thairath.co.th/money/investment/capital_market/899340,0.25,เศรษฐกิจไทย,Short-term,Negative
thairath,899472,economics,2017-03-29,สั่ง 'อคส.' ขายข้าวโพดเน่า 8.4 หมื่นตัน จากโครงการแทรกแซงราคาปี 51-52,https://www.thairath.co.th/money/economics/thai_economics/899472,0.55,ราคาสินค้าเกษตร,Short-term,Neutral
thairath,899732,economics,2017-03-29,หุ้นสหรัฐฯ ปิดผสม หลัง UK เริ่มเบร็กซิตอย่างเป็นทางการ,https://www.thairath.co.th/money/economics/thai_economics/899732,0.65,ราคาน้ำมันเชื้อเพลิง,Short-term,Positive
thairath,899786,economics,2017-03-30,พฤกษารุกคอนโดไฮเอนด์จับลูกค้ากระเป๋าหนัก,https://www.thairath.co.th/money/economics/thai_economics/899786,0.65,เศรษฐกิจไทย,Long-term,Positive
thairath,899826,economics,2017-03-30,กระทรวงแรงงาน วางยุทธศาสตร์ 5 ปี พัฒนาคนโลจิสติกส์ 1.7 แสนคน,https://www.thairath.co.th/money/economics/thai_economics/899826,0.65,เศรษฐกิจไทย,Long-term,Positive
thairath,900011,investment,2017-03-30,"หุ้นไทยปิดตลาดเช้าปรับตัวขึ้น 1.24 ดัชนีอยู่ที่ 1,576 จุด",https://www.thairath.co.th/money/investment/capital_market/900011,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,900037,economics,2017-03-30,สรท.คาดส่งออกไทยปีนี้โต 2-3% หวังเศรษฐกิจโลกฟื้นตัวช่วยหนุน,https://www.thairath.co.th/money/economics/thai_economics/900037,0.75,เศรษฐกิจไทย,Long-term,Positive
thairath,900336,investment,2017-03-30,"หุ้นไทยปิดตลาดสดใส ปรับขึ้น 4.91 ดัชนีแตะ 1,579 จุด",https://www.thairath.co.th/money/investment/capital_market/900336,0.85,เศรษฐกิจไทย,Short-term,Positive
thairath,900285,economics,2017-03-30,พาณิชย์จ่อถกร่วมสหรัฐฯ หุ้นส่วนยุทธศาสตร์เศรษฐกิจแบบวินวิน,https://www.thairath.co.th/money/economics/thai_economics/900285,0.75,เศรษฐกิจไทย,Long-term,Positive
thairath,900490,economics,2017-03-30,ขนส่งยันรถโดยสารสาธารณะทุกคันต้องติด GPS เพื่อควบคุมพฤติกรรมการขับขี่,https://www.thairath.co.th/money/economics/thai_economics/900490,0.65,สังคม/ความมั่นคง,Short-term,Positive
thairath,900745,personal_finance,2017-03-30,หุ้นสหรัฐฯ ปิดบวก จากแรงหนุนกลุ่มธนาคาร-น้ำมัน,https://www.thairath.co.th/money/personal_finance/financial_planning/900745,0.75,เศรษฐกิจโลก,Short-term,Positive
thairath,900810,investment,2017-03-31,"ทองเปิดตลาด ราคาลดลง 100 รูปพรรณขายออกบาทละ 20,800",https://www.thairath.co.th/money/investment/gold/900810,0.55,เศรษฐกิจไทย,Short-term,Neutral
thairath,900972,investment,2017-03-31,"ครึ่งวันเช้าหุ้นไทยปิดตัวแดนลบ 2.09 ดัชนีอยู่ที่ 1,577 จุด",https://www.thairath.co.th/money/investment/capital_market/900972,0.25,เศรษฐกิจไทย,Short-term,Negative
thairath,901187,economics,2017-03-31,หนูณิชย์พาชิม อาหารปรุงเสร็จราคา 35 บาท ในปั๊มปตท. ดีเดย์ 7 เม.ย.นี้,https://www.thairath.co.th/money/economics/thai_economics/901187,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,901296,investment,2017-03-31,"ทิ้งท้ายสุดสัปดาห์ หุ้นไทยปิดร่วง 4.77 ดัชนีอยู่ที่ 1,575 จุด",https://www.thairath.co.th/money/investment/capital_market/901296,0.35,เศรษฐกิจไทย,Short-term,Negative
thairath,901811,investment,2017-04-01,ทองคำวันนี้ ราคาขยับขึ้น อีกบาทละ 50,https://www.thairath.co.th/money/investment/gold/901811,0.5,ราคาสินค้าเกษตร,Short-term,Neutral
thairath,902937,economics,2017-04-02,กยท. แจง ระบายยางในสต๊อกรัฐ ยัน ไม่กระทบราคาในตลาดมากเกินไป,https://www.thairath.co.th/money/economics/thai_economics/902937,0.75,ราคาสินค้าเกษตร,Short-term,Positive
thairath,903315,investment,2017-04-03,"ทองไทยเปิดตลาดร่วง 50 รูปพรรณขายบาทละ 20,800",https://www.thairath.co.th/money/investment/gold/903315,0.35,เศรษฐกิจไทย,Short-term,Negative
thairath,903421,investment,2017-04-03,"ครึ่งวันเช้าหุ้นไทยปิดตลาดปรับขึ้น 5.42 จุด ดัชนีแตะ 1,580 จุด",https://www.thairath.co.th/money/investment/capital_market/903421,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,903502,economics,2017-04-03,มหากาพย์รถเมล์ NGV! ขสมก.ถกฝ่ายกฎหมายเครียด จ่อยื่นอุทธรณ์คำสั่งศาล,https://www.thairath.co.th/money/economics/thai_economics/903502,0.45,มาตรการของรัฐ,Short-term,Neutral
thairath,903582,economics,2017-04-03,สนข.มั่นใจกลางปีเห็น 'ตั๋วร่วม' รถไฟฟ้าแอร์พอร์ตลิงก์ประเดิมรายแรก,https://www.thairath.co.th/money/economics/thai_economics/903582,0.75,เศรษฐกิจไทย,Short-term,Positive
thairath,903510,economics,2017-04-03,พาณิชย์กังวล'ทรัมป์'สอบขาดดุลการค้า16 ชาติ ไทยโดนด้วย ซ้ำไม่ปลดบัญชีดำ,https://www.thairath.co.th/money/economics/thai_economics/903510,0.35,เศรษฐกิจโลก,Long-term,Negative
thairath,903656,economics,2017-04-03,อภินิหารทรัมป์! พาณิชย์ถกเอกชน รับมือคำสั่งสอบขาดดุลการค้า 16 ประเทศ,https://www.thairath.co.th/money/economics/thai_economics/903656,0.4,เศรษฐกิจโลก,Short-term,Negative
thairath,903555,economics,2017-04-03,'น้ำมัน-ยาสูบ-อาหาร' ดันเงินเฟ้อเดือน มี.ค. สูงขึ้น 0.76%,https://www.thairath.co.th/money/economics/thai_economics/903555,0.45,ราคาสินค้าเกษตร,Short-term,Neutral
thairath,903786,investment,2017-04-03,"หุ้นไทยปิดตลาดปรับขึ้น 5.75 ดัชนียืนที่ 1,580 จุด",https://www.thairath.co.th/money/investment/capital_market/903786,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,903856,economics,2017-04-03,"สรุปยอดลงทะเบียนคนจนวันแรกผ่าน 3 ธนาคารรัฐ แตะ 285,848 คน",https://www.thairath.co.th/money/economics/thai_economics/903856,0.65,มาตรการของรัฐ,Short-term,Positive
thairath,903960,economics,2017-04-03,สนามบินดอนเมือง จัดจนท.ดูแลสายพานกระเป๋า ลดเวลา-ภาระผู้โดยสาร,https://www.thairath.co.th/money/economics/thai_economics/903960,0.65,สังคม/ความมั่นคง,Short-term,Positive
thairath,894557,economics,2017-04-03,หมูปิ้งเฮียนพ EP.1 หมดตัว ติดบูโร ไร้บ้าน สู่หมูปิ้งร้อยล้าน วันละแสนไม้,https://www.thairath.co.th/money/economics/thai_economics/894557,0.65,เศรษฐกิจไทย,Long-term,Positive
thairath,904180,investment,2017-04-03,หุ้นสหรัฐฯ ร่วงเล็กน้อย จากแรงฉุดกลุ่มยานยนต์-กังขานโยบายทรัมป์,https://www.thairath.co.th/money/investment/capital_market/904180,0.45,เศรษฐกิจโลก,Short-term,Neutral
thairath,904337,economics,2017-04-04,กสทช. กำชับโอเปอเรเตอร์ดูแลคุณภาพสัญญาณ ช่วงสงกรานต์,https://www.thairath.co.th/money/economics/thai_economics/904337,0.65,สังคม/ความมั่นคง,Short-term,Positive
thairath,904472,personal_finance,2017-04-04,แบงก์ชาติ สำรองเงินสดช่วงสงกรานต์ คาดเบิกจ่าย 3 หมื่นล้าน,https://www.thairath.co.th/money/personal_finance/financial_planning/904472,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,904487,investment,2017-04-04,"ปิดตลาดเช้าหุ้นไทยปรับขึ้นเล็กน้อย ดัชนียืนที่ 1,581 จุด",https://www.thairath.co.th/money/investment/capital_market/904487,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,904696,personal_finance,2017-04-04,ไทยพาณิชย์ ปรับทัพครั้งใหญ่ปูทางธนาคารน่าชื่นชมที่สุด,https://www.thairath.co.th/money/personal_finance/financial_planning/904696,0.65,เศรษฐกิจไทย,Long-term,Positive
thairath,904687,economics,2017-04-04,รฟม.ยกระดับความปลอดภัย คุมเข้มทุกสถานี-ขบวนรถไฟฟ้า,https://www.thairath.co.th/money/economics/thai_economics/904687,0.65,สังคม/ความมั่นคง,Short-term,Positive
thairath,904737,economics,2017-04-04,มหากาพย์แท็กซี่ไทย! ขนส่งฯ ลงดาบสูงสุดทุกการร้องเรียน วอน ปชช.มั่นใจ,https://www.thairath.co.th/money/economics/thai_economics/904737,0.25,สังคม/ความมั่นคง,Short-term,Negative
thairath,904931,investment,2017-04-04,"ปิดตลาดบ่าย หุ้นไทยยังสดใสปรับขึ้น 2.96 ดัชนีแตะ 1,583 จุด",https://www.thairath.co.th/money/investment/capital_market/904931,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,904985,economics,2017-04-04,สรรพากร เผย ผู้หลีกเลี่ยง-ฉ้อโกงภาษี 10 ล.ขึ้นไป ผิดร้ายแรงฐานฟอกเงิน,https://www.thairath.co.th/money/economics/thai_economics/904985,0.55,มาตรการของรัฐ,Long-term,Neutral
thairath,904957,economics,2017-04-04,ครม.เห็นชอบเปิดทางผู้สิ้นสภาพทำประกันสังคมได้ ไม่ต้องจ่ายเงินย้อนหลัง,https://www.thairath.co.th/money/economics/thai_economics/904957,0.75,มาตรการของรัฐ,Long-term,Positive
thairath,905097,economics,2017-04-04,บอร์ดรถไฟจ่อเคาะทีโออาร์ทางคู่ หัวหิน-ประจวบฯ เป็นเส้นแรก,https://www.thairath.co.th/money/economics/thai_economics/905097,0.75,เศรษฐกิจไทย,Long-term,Positive
thairath,905067,economics,2017-04-04,USTR ติงไทยแก้ปัญหาการละเมิดทรัพย์สินทางปัญญาช้า เล็งรายงาน 'ทรัมป์',https://www.thairath.co.th/money/economics/thai_economics/905067,0.25,เศรษฐกิจโลก,Long-term,Negative
thairath,905107,economics,2017-04-04,สรรพากร เปลี่ยนวิธีชำระอากรแสตมป์เป็นจ่ายเงินสดเอื้อผู้ประกอบการธุรกิจ,https://www.thairath.co.th/money/economics/thai_economics/905107,0.75,มาตรการของรัฐ,Short-term,Positive
thairath,905116,economics,2017-04-04,ครม.อนุมัติขยายเวลาก่อหนี้ผูกพันงบประมาณกรมเจ้าท่าอีก 3 ปี,https://www.thairath.co.th/money/economics/thai_economics/905116,0.65,มาตรการของรัฐ,Long-term,Positive
thairath,905361,investment,2017-04-04,หุ้นสหรัฐฯ ขยับขึ้น ได้แรงหนุนจากโบอิ้ง-แคเทอร์พิลลาร์,https://www.thairath.co.th/money/investment/capital_market/905361,0.55,เศรษฐกิจโลก,Short-term,Neutral
thairath,905487,investment,2017-04-05,"ทองไทยเปิดตลาด ปรับลด 50 รูปพรรณขายออกบาทละ 21,000",https://www.thairath.co.th/money/investment/gold/905487,0.45,ราคาสินค้าเกษตร,Short-term,Neutral
thairath,905700,investment,2017-04-05,"ครึ่งวันเช้าหุ้นไทยปรับลด 1.12 ดัชนียืน 1,582 จุด",https://www.thairath.co.th/money/investment/capital_market/905700,0.45,เศรษฐกิจไทย,Short-term,Neutral
thairath,905985,economics,2017-04-05,อีอีซี ไฟเขียวอู่ตะเภาเมืองการบิน ลุยไฮสปีดเทรนเชื่อม 3 สนามบิน,https://www.thairath.co.th/money/economics/thai_economics/905985,0.75,เศรษฐกิจไทย,Long-term,Positive
thairath,906025,investment,2017-04-05,"ปิดตลาดภาคบ่าย หุ้นไทยปรับลด 1.70 ดัชนีอยู่ที่ 1,582 จุด",https://www.thairath.co.th/money/investment/capital_market/906025,0.45,เศรษฐกิจไทย,Short-term,Neutral
thairath,906050,economics,2017-04-05,ขนส่งฯ แนะใช้รถตู้โดยสารสาธารณะ-รถตู้เช่าเหมาคัน แทนนั่งกระบะหลัง,https://www.thairath.co.th/money/economics/thai_economics/906050,0.75,สังคม/ความมั่นคง,Short-term,Positive
thairath,905796,investment,2017-04-05,ไตรมาสแรกราคาทองขยับขึ้น 2.5% หรือ 500 บาท แนะจับจังหวะซื้อ-ขายให้ดี,https://www.thairath.co.th/money/investment/gold/905796,0.65,เศรษฐกิจไทย,Short-term,Positive
